Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,921.0,18.0,52.0,1874.0,0.1,931.0,0.0,0.0,260.4616093635559,,,,,,,,,,,,,,,,,,,,,417.9519317175058,296.32039789978114,911.0877639909073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1061.0,19.0,140.0,2014.0,0.1,2499.0,0.0,0.0,272.8235356807709,,,,,,,,,,,,,,,,,,,,,1174.17369610048,681.9286989875872,2339.2919271082224,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1086.0,20.0,25.0,2039.0,0.1,404.0,0.0,0.0,275.3064498901367,,,,,,,,,,,,,,,,,,,,,178.9973671421013,137.56295170483963,400.3253161283882,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,47.0,1.0,47.0,2086.0,0.1,846.0,0.0,0.0,374.3370883464813,,,,,,,,,,,,,,,,,,,,,384.734437678995,269.41453778562084,829.5758034602042,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,79.0,2.0,32.0,2118.0,0.1,491.0,0.0,0.0,377.79175758361816,,,,,,,,,,,,,,,,,,,,,201.74489452186617,167.73115614570406,485.5147072751434,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,125.0,3.0,46.0,2164.0,0.1,705.0,0.0,0.0,382.1880257129669,,,,,,,,,,,,,,,,,,,,,278.5674474222864,236.90629028632884,693.5723485433131,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,169.0,4.0,44.0,2208.0,0.1,763.0,0.0,0.0,386.366872549057,,,,,,,,,,,,,,,,,,,,,337.44782039688835,247.81230958660217,749.6508479475842,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,227.0,5.0,58.0,2266.0,0.1,917.0,0.0,0.0,391.6752016544342,,,,,,,,,,,,,,,,,,,,,365.12235846811086,303.2427517565345,897.6172400717527,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,271.0,6.0,44.0,2310.0,0.1,603.0,0.0,0.0,395.92210245132446,,,,,,,,,,,,,,,,,,,,,217.59779643308627,205.44893579858442,594.6143310046227,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,343.0,7.0,72.0,2382.0,0.1,1371.0,0.0,0.0,402.67264699935913,,,,,,,,,,,,,,,,,,,,,636.4293889440418,416.34119627152717,1327.8314190026151,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,401.0,8.0,58.0,2440.0,0.1,1017.0,0.0,0.0,408.13527607917786,,,,,,,,,,,,,,,,,,,,,444.319053533785,325.58605232943034,993.2149315431951,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,430.0,9.0,29.0,2469.0,0.1,468.0,0.0,0.0,411.05842113494873,,,,,,,,,,,,,,,,,,,,,203.09306674795718,158.46097910567735,463.0359098480957,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,458.0,10.0,28.0,2497.0,0.1,407.0,0.0,0.0,413.96004915237427,,,,,,,,,,,,,,,,,,,,,162.67460452933648,141.38216510887892,403.25121024245334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,511.0,11.0,53.0,2550.0,0.1,892.0,0.0,0.0,418.9577076435089,,,,,,,,,,,,,,,,,,,,,378.1758972528163,291.0474568357726,873.7032101627159,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,542.0,12.0,31.0,2581.0,0.1,510.0,0.0,0.0,422.2906618118286,,,,,,,,,,,,,,,,,,,,,223.1733370489778,171.1366417231912,504.0893010643093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,578.0,13.0,36.0,2617.0,0.1,615.0,0.0,0.0,425.8008654117584,,,,,,,,,,,,,,,,,,,,,273.55615355196426,202.37325896539573,606.3641003086465,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,612.0,14.0,34.0,2651.0,0.1,573.0,0.0,0.0,429.1803104877472,,,,,,,,,,,,,,,,,,,,,253.3794026868744,189.94873039061062,565.5155659249303,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
